,,
63,agr,Farming
127,art med,Animation
140,art med,Graphic Design
37,art med rec,Museums and Institutions
115,art rec,Music
49,cons,Building Materials
50,cons,Architecture & Planning
128,cons corp fin,Commercial Real Estate
44,cons fin good,Real Estate
135,cons gov man,Mechanical or Industrial Engineering
145,cons man,"Glass, Ceramics & Concrete"
147,cons man,Industrial Automation
11,corp,Management Consulting
97,corp,Market Research
98,corp,Public Relations and Communications
104,corp,Staffing and Recruiting
105,corp,Professional Training & Coaching
137,corp,Human Resources
134,corp good tran,Import and Export
138,corp man,Business Supplies and Equipment
80,corp med,Marketing and Advertising
102,corp org,Program Development
121,corp org serv,Security and Investigations
116,corp tran,Logistics and Supply Chain
67,edu,Primary/Secondary Education
68,edu,Higher Education
69,edu,Education Management
70,edu gov,Research
132,edu org,E-Learning
41,fin,Banking
42,fin,Insurance
43,fin,Financial Services
45,fin,Investment Banking
46,fin,Investment Management
129,fin,Capital Markets
106,fin tech,Venture Capital & Private Equity
18,good,Cosmetics
19,good,Apparel & Fashion
22,good,Supermarkets
143,good,Luxury Goods & Jewelry
24,good man,Consumer Electronics
25,good man,Consumer Goods
26,good man,Furniture
27,good man,Retail
112,good man,Electrical/Electronic Manufacturing
146,good man,Packaging and Containers
20,good rec,Sporting Goods
71,gov,Military
75,gov,Government Administration
76,gov,Executive Office
12,gov hlth tech,Biotechnology
77,gov leg,Law Enforcement
52,gov man,Aviation & Aerospace
144,gov man org,Renewables & Environment
114,gov man tech,Nanotechnology
107,gov org,Political Organization
130,gov org,Think Tanks
141,gov org tran,International Trade and Development
1,gov tech,Defense & Space
8,gov tech,Telecommunications
14,hlth,Hospital & Health Care
124,hlth rec,"Health, Wellness and Fitness"
15,hlth tech,Pharmaceuticals
53,man,Automotive
54,man,Chemicals
55,man,Machinery
56,man,Mining & Metals
57,man,Oil & Energy
58,man,Shipbuilding
59,man,Utilities
60,man,Textiles
61,man,Paper & Forest Products
62,man,Railroad Manufacture
94,man tech tran,Airlines/Aviation
113,med,Online Media
28,med rec,Entertainment
81,med rec,Newspapers
82,med rec,Publishing
109,med rec,Computer Games
126,med rec,Media Production
84,med serv,Information Services
100,org,Non-Profit Organization Management
101,org,Fund-Raising
131,org,Philanthropy
86,org serv,Environmental Services
90,org serv,Civic & Social Organization
91,org serv,Consumer Services
29,rec,Gambling & Casinos
34,rec serv,Food & Beverages
87,serv tran,Package/Freight Delivery
4,tech,Computer Software
6,tech,Internet
7,tech,Semiconductors
96,tech,Information Technology and Services
118,tech,Computer & Network Security
119,tech,Wireless
92,tran,Transportation/Trucking/Railroad
93,tran,Warehousing
95,tran,Maritime
,,
