cindustry,cname,cid
Retail,Borders,5149
Gambling & Casinos,Zokay Entertainment,2681388
Food & Beverages,Parmalat SA (Pty) Ltd,8532
Museums & Institutions,Oregon Zoo,1093808
Banking,City National Bank,163069
Insurance,Aviva India,2923
Financial Services,Deluxe Corporation,4768
Real Estate,Intero Real Estate Services,8502
Investment Banking/Venture,Moelis & Company,394293
Investment Management,"Highland Capital Management, L.P.",164190
Building Materials,Pavestone Company,52723
Architecture & Planning,Walker Parking Consultants,24929
Aviation & Aerospace,CAE Parc Aviation,313823
Automotive,Kelley Blue Book,8744
Chemicals,SI Group,35409
Mining & Metals,Duferco,26853
Oil & Energy,Fugro,6748
Utilities,Current LLC,163301
Textiles,eebee,5341991
Paper & Forest Products,Ambar,79207
Farming,Charente Naturelle,5334935
Higher Education,Senac São Paulo,165919
Research,Brookhaven National Laboratory,12743
Military,"Patriot Solutions International, LLC",3553099
Government Administration,Department for Work and Pensions (DWP),163529
Executive Office,World Business Board,5321493
Law Enforcement,Hidden-in-Sight International,5272262
Marketing & Advertising,TBWA\Worldwide,166268
Newspapers,Forum Communications,44436
Publishing,"ALM Media, LLC",7109
Information Services,Symphony Health Solutions,2479
Environmental Services,"Ecology and Environment, Inc",227661
Consumer Services,Harvard Student Agencies,1006680
Warehousing,Octo-Logistics (Pty) Ltd,5232534
Airlines/Aviation,South African Airways,166062
Maritime,APSS,66645
Information Technology & Services,Ness Technologies,3495
Market Research,Penn Schoen Berland,17242
Nonprofit Organization Management,Shaw Trust,36599
Program Development,WildeWeb,5349238
Staffing & Recruiting,Mitchell Martin Inc.,488281
Professional Training,The Coaching Institute (TCI),48591
Venture Capital,Frost Data Capital,3235967
Political Organization,AnderZ - Sociaal Libertijns Verzet,5342161
Computer Games,Radical Entertainment,7104
Electrical & Electronic Manufacturing,Pepperl+Fuchs,39373
Music,Altavoz Entertainment,2103529
Logistics & Supply Chain,Move One Inc.,52437
Computer & Network Security,Skybox Security,165996
Wireless,GetJar Inc.,604041
Security & Investigations,AKE,50924
Media Production,Australian Associated Press (AAP),22934
Commercial Real Estate,"The Bulfinch Companies, Inc.",2871131
Capital Markets,JKobori Investimentos,1228666
Think Tanks,Cityforum,2009934
E-learning,TutorVista Global Pvt Ltd,149849
Mechanical or Industrial Engineering,Oxford Instruments,10420
Human Resources,TAPFIN-ManpowerGroup Solutions,427281
Business Supplies & Equipment,The Biz China Co  Ltd,3742327
Graphic Design,Crème brulée,5347759
International Trade & Development,Flanders Investment & Trade (FIT),20796
Packaging & Containers,FP International,23744
Industrial Automation,System S.p.A.,148939
