cindustry,cname,cid
Computer Software,Autodesk,1879
Internet,Equinix,8221
Semiconductors,Analog Devices,3450
Telecommunications,Bell,1531
Management Consulting,Right Management,3958
Biotechnology,Sigma-Aldrich,165965
Hospital & Health Care,Memorial Sloan Kettering Cancer Center,5630
Pharmaceuticals,Dr. Reddy's Laboratories,8126
Cosmetics,TIGI Haircare,50490
Apparel & Fashion,Totes Isotoner,109133
Sporting Goods,Easton Hockey,26567
Supermarkets,Lucky's Market,2441202
Consumer Electronics,"Sonos, Inc.",27333
Consumer Goods,Anheuser-Busch InBev,255188
Furniture,Leggett & Platt,11275
Retail,Victoria's Secret,2251
Entertainment,Universal Pictures,1834
Food & Beverages,Sysco,5343
Museums & Institutions,Seattle Art Museum,20712
Banking,Crédit Agricole CIB,2579
Insurance,Arthur J. Gallagher & Co.,6547
Financial Services,State Street,1767
Real Estate,Windermere Real Estate,311558
Investment Banking/Venture,Roth Capital Partners,19644
Investment Management,Moore Capital Management,15795
Building Materials,Votorantim Cimentos,469600
Architecture & Planning,Rockwell Group,20589
Aviation & Aerospace,Hamilton Sundstrand,2427
Automotive,Valeo,2669
Chemicals,Sherwin Williams,165944
Machinery,Liebherr Group,11057
Mining & Metals,Votorantim Metais,284623
Oil & Energy,Alstom Power,2444
Shipbuilding,Chantier Naval de Marseille,5343208
Utilities,Itron,7550
Textiles,Azgard Nine Ltd,541105
Paper & Forest Products,Sappi Europe,6557
Railroad Manufacture,Talleres Mendizabal S.A.,5303287
Farming,Mriya Agro Holding,1968043
Primary/Secondary,Allegheny Intermediate Unit,87328
Higher Education,Massachusetts Institute of Technology (MIT),1503
Education Management,The Princeton Review,157348
Research,CSIRO,163279
Military,U.S. European Command,109054
Government Administration,Health Canada,1561
Executive Office,Hunte Corporate Enterprise,3022508
Law Enforcement,Greater Manchester Police,468148
Marketing & Advertising,WPP,8236
Newspapers,The Seattle Times,166407
Publishing,Il Sole 24 Ore,164310
Information Services,Cheers Interactive,163005
Environmental Services,The Brickman Group,27984
Consumer Goods,Ukhuni,5340347
Civic & Social Organization,Movisie,69632
Consumer Services,AAA Southern New England,26197
Transportation/Trucking/Railroad,Cosan,73268
Warehousing,FILE S.A.,5305144
Airlines/Aviation,Cathay Pacific Airways,7097
Maritime,Hanjin Shipping,17367
Information Technology & Services,Tech Mahindra (formerly Mahindra Satyam),1857
Market Research,Feedback Business Consulting Services Pvt Ltd,114399
Public Relations,Fenton,19482
Nonprofit Organization Management,March of Dimes,7539
Fundraising,WeCareCard,2720148
Program Development,The Compass Fellowship,2969439
Staffing & Recruiting,Lucas Group,6488
Professional Training,Miller Heiman,19872
Venture Capital,Highland Capital Partners,15374
Political Organization,PvdA Drenthe,225026
Computer Games,CCP,162936
Electrical & Electronic Manufacturing,Trimble,5160
Online Publishing,TechTarget,166286
Nanotechnology,NanoArC Ltd,5343015
Music,APM Music,162477
Logistics & Supply Chain,Penske Logistics,5755
Computer & Network Security,Rapid7,39624
Wireless,PlayPhone,64812
Security & Investigations,ASIS International,30614
"Health, Wellness & Fitness",Curves,11016
Media Production,Lukkien,28106
Animation,"Digital Frontier FX, Inc.",5208973
Commercial Real Estate,Lincoln Harris,462332
Capital Markets,OCC,47420
Think Tanks,Inc. Magazine's Business Owners Council,3293027
Philanthropy,Arabella Advisors,2100869
E-learning,CompassLearning,11762
Import & Export,American Packing and Crating,1271465
Mechanical or Industrial Engineering,KONE,5047
Human Resources,Drake International,163498
Business Supplies & Equipment,Quill,165629
Graphic Design,TouchVFX,2574577
International Trade & Development,Toyota Tsusho America,36860
Luxury Goods & Jewelry,Bottega Veneta,24464
Renewables & Environment,SolarWorld,291236
"Glass, Ceramics & Concrete",NITSON AND AMITSU PRIVATE LIMITED,1671073
Packaging & Containers,Gerresheimer,55187
Industrial Automation,Bastian Solutions,26131
Computer Software,GlobalLogic,164008
Internet,Catho,16645
Semiconductors,Avnet Electronics Marketing,2569
Telecommunications,Rogers Communications,232888
Management Consulting,Gallup,166373
Biotechnology,Merrimack Pharmaceuticals,26431
Hospital & Health Care,Hospital Albert Einstein,15037
Pharmaceuticals,EMD Millipore,164988
Cosmetics,Eventmakers Cosmetics,2851713
Apparel & Fashion,Hurley,17144
Sporting Goods,BSN SPORTS,47874
Supermarkets,Hipermercados Olé,5260290
Consumer Electronics,Rand McNally,165655
Consumer Goods,Daymon Worldwide,163373
Furniture,Landscape Forms,133370
Retail,DICK'S Sporting Goods,7789
Entertainment,Rentrak,30042
Gambling & Casinos,Sun International,10952
Food & Beverages,Tim Hortons,16336
Museums & Institutions,The Tech Museum of Innovation,166414
Banking,AlRajhi Bank,17865
Insurance,QBE Insurance,165607
Financial Services,Northern Trust Corporation,3831
Real Estate,Cartus,8196
Investment Banking/Venture,DNB Markets,4460
Investment Management,CPP Investment Board,23230
Building Materials,HD Supply Construction & Industrial - White Cap,25371
Architecture & Planning,HMC Architects,25205
Aviation & Aerospace,NATS,8543
Automotive,AUDI AG,5626
Chemicals,Kemira,7400
Machinery,Voith GmbH,166837
Mining & Metals,Steel Technologies,47708
